City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,pevek,69.7008,170.3133,-33.41,99,100,0.77,RU,1675741142
228,itarema,-2.9248,-39.9167,25.09,84,46,3.13,BR,1675741143
229,concepcion del uruguay,-32.4825,-58.2372,24.58,72,0,0.89,AR,1675741144
230,xuddur,4.1213,43.8894,20.5,80,34,6.92,SO,1675741145
231,panama city,8.9936,-79.5197,27.32,77,0,2.57,PA,1675741114
232,victoria,22.2855,114.1577,23.03,81,41,2.24,HK,1675740695
233,oistins,13.0667,-59.5333,26.05,73,40,8.23,BB,1675741147
234,lashma,54.9321,41.1438,-10.66,97,99,1.96,RU,1675741147
235,tuatapere,-46.1333,167.6833,14.57,70,59,5.97,NZ,1675740824
236,ano mera,37.45,25.4,6.4,65,100,13.03,GR,1675741149
237,tautira,-17.7333,-149.15,26.73,75,30,5.55,PF,1675740741
238,manono,-7.3,27.4167,19.84,97,99,1.1,CD,1675741150
239,olinda,-8.0089,-34.8553,25.85,69,40,2.06,BR,1675741151
240,sapa,5.1544,120.3241,27.98,73,64,1.4,PH,1675741151
241,komsomolskiy,40.4272,71.7189,0.4,93,5,2.06,UZ,1675740782
242,mahebourg,-20.4081,57.7,26.81,89,40,4.12,MU,1675740651
243,tres arroyos,-38.3739,-60.2798,15.31,79,26,5.08,AR,1675741153
244,kashi,39.4547,75.9797,-1.44,59,0,2.0,CN,1675741154
245,kupang,-10.1667,123.5833,30.32,74,75,3.09,ID,1675741155
246,praia,14.9215,-23.5087,19.3,59,75,9.77,CV,1675741156
247,manokwari,-0.8667,134.0833,27.07,84,92,5.32,ID,1675741156
248,alofi,-19.0595,-169.9187,29.94,70,40,4.63,NU,1675740898
249,laguna,38.421,-121.4238,12.07,58,0,4.12,US,1675741157
250,liverpool,53.4106,-2.9779,3.79,88,0,2.57,GB,1675740935
251,san isidro,-12.1167,-77.05,25.56,75,0,5.66,PE,1675741158
252,shimoda,34.6667,138.95,13.2,53,66,4.92,JP,1675741145
253,ust-kulom,61.6864,53.6902,-21.36,100,100,0.79,RU,1675741160
254,vila franca do campo,37.7167,-25.4333,13.23,89,99,6.76,PT,1675741161
255,santo domingo,18.5001,-69.9886,21.82,100,20,0.0,DO,1675741163
256,bengkulu,-3.8004,102.2655,28.55,64,90,4.31,ID,1675740675
257,chuy,-33.6971,-53.4616,19.72,81,2,1.61,UY,1675740779
258,lingao,19.9103,109.6859,26.1,66,14,4.67,CN,1675741164
